Percentage of Women,Percentage of Men,Percentage of Eldelry - 65 or more years ,Percentage of Youth - 15-24 years,Average family size - 1 to 3 members,Town,Average family size - 4 to 6 members,Average family size - 7 or more members ,District,family
60.0,40.0,15.0,40.0,0,Naoura El-Faouqa,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,60.0,0,Nasriyet Zahleh,1,0,Zahle_District,4-6
60.0,40.0,10.0,15.0,0,Nfisseh,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,15.0,0,Niha El-Chouf,1,0,Mount_Lebanon_Governorate,4-6
60.0,40.0,30.0,35.0,0,Niha Zahleh,1,0,Zahle_District,4-6
45.0,55.0,30.0,20.0,1,Nimrine,0,0,Miniyeha-Danniyeh_District,1-3
20.0,80.0,15.0,20.0,1,Nmairiyeh,0,0,Nabatieh_Governorate,1-3
40.0,60.0,15.0,30.0,0,Ouada,1,0,Akkar_Governorate,4-6
30.0,70.0,15.0,35.0,0,Ouadi Baanqoudaine,1,0,South_Governorate,4-6
60.0,40.0,20.0,2.0,0,Ouadi Banhlay,1,0,Mount_Lebanon_Governorate,4-6
31.0,69.0,12.0,2.0,0,Ouadi Chahine,1,0,Matn_District,4-6
60.0,40.0,30.0,15.0,0,Ouadi Chahrour El Aaoulia,1,0,Baabda_District,4-6
52.0,48.0,20.0,20.0,0,Ouadi Chahrour Es-Soufla,1,0,Baabda_District,4-6
40.0,60.0,0.0,12.0,0,Ouadi Ed-Deir,1,0,Mount_Lebanon_Governorate,4-6
60.0,40.0,7.0,30.0,0,Ouadi El-Haour,1,0,Akkar_Governorate,4-6
55.0,45.0,10.0,30.0,0,Ouadi El-Karm El-Matn,1,0,Matn_District,4-6
35.0,65.0,11.0,6.0,0,Ouadi El-Laymoun,1,0,South_Governorate,4-6
50.0,50.0,20.0,30.0,0,Ouadi Es-Sitt,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,15.0,60.0,0,Ouadi Faara,1,0,Hermel_District,4-6
55.0,45.0,5.0,25.0,0,Ouadi Khaled,1,0,Akkar_Governorate,4-6
60.0,40.0,30.0,60.0,0,Ouadi Nakhleh,0,1,"Tripoli_District,_Lebanon",7+
52.0,48.0,30.0,60.0,0,Ouadi Qannoubine,1,0,Bsharri_District,4-6
53.0,47.0,20.0,50.0,0,Ouardaniyeh,1,0,Mount_Lebanon_Governorate,4-6
53.0,47.0,10.0,15.0,0,Ouarhaniyeh,1,0,Mount_Lebanon_Governorate,4-6
45.0,55.0,15.0,55.0,0,Qaa Baalbek,0,1,Baalbek-Hermel_Governorate,7+
47.0,53.0,10.0,15.0,1,Qaa Er-Rim,0,0,Zahle_District,1-3
60.0,40.0,15.0,45.0,0,Qaaqaaiyet Ej-Jisr,1,0,Nabatieh_Governorate,4-6
50.0,50.0,20.0,15.0,0,Qaaqaiyet Es-Snaoubar,1,0,Sidon_District,4-6
52.0,48.0,15.0,15.0,0,Qaaqour,1,0,Matn_District,4-6
55.0,45.0,15.0,35.0,0,Qabb Elias,1,0,Zahle_District,4-6
60.0,40.0,2.0,85.0,0,Qachlaq,1,0,Akkar_Governorate,4-6
45.0,55.0,25.0,20.0,1,Qahmez,0,0,Byblos_District,1-3
40.0,60.0,10.0,20.0,0,Qalaa,1,0,Baabda_District,4-6
52.0,48.0,15.0,35.0,0,Qalamoun,1,0,"Tripoli_District,_Lebanon",4-6
70.0,30.0,20.0,25.0,1,Qalaouiyeh,0,0,Bint_Jbeil_District,1-3
55.0,45.0,45.0,25.0,0,Qalhat,1,0,North_Governorate,4-6
60.0,40.0,15.0,25.0,0,Qannebet Salima,1,0,Matn_District,4-6
60.0,40.0,50.0,50.0,0,Qantara,1,0,Marjeyoun_District,4-6
49.72,50.28,5.23,10.0,0,Qanya,1,0,Akkar_Governorate,4-6
45.0,55.0,50.0,10.0,0,Qaouzah,1,0,Bint_Jbeil_District,4-6
49.0,51.0,30.0,30.0,0,Qaraaoun,1,0,Western_Beqaa_District,4-6
45.0,55.0,70.0,5.0,1,Qarah Bach,0,0,Zgharta_District,1-3
45.0,55.0,15.0,40.0,0,Qarha,1,0,Akkar_Governorate,4-6
55.0,45.0,20.0,40.0,0,Qarhaiya,0,1,Miniyeha-Danniyeh_District,7+
55.0,45.0,6.0,32.0,0,Qarsaita,0,1,Miniyeha-Danniyeh_District,7+
50.0,50.0,30.0,35.0,1,Qartaba,0,0,Byblos_District,1-3
70.0,30.0,10.0,20.0,0,Qaser,1,0,Hermel_District,4-6
50.0,50.0,15.0,15.0,0,Qatrani,1,0,South_Governorate,4-6
45.0,55.0,25.0,45.0,0,Qattineh-Miniyeh,1,0,Miniyeha-Danniyeh_District,4-6
60.0,40.0,35.0,30.0,1,Qaynour,0,0,Bsharri_District,1-3
60.0,40.0,12.0,26.0,1,Qaytouleh,0,0,South_Governorate,1-3
50.24,49.76,9.5,20.0,1,Qbaiyat Aakkar,0,0,Akkar_Governorate,1-3
50.0,50.0,10.0,35.0,0,Qelaya,1,0,Western_Beqaa_District,4-6
62.0,38.0,22.0,28.0,1,Qennabet Broummana,0,0,Matn_District,1-3
55.0,45.0,10.0,20.0,0,Qennarit,1,0,Sidon_District,4-6
50.0,50.0,10.0,90.0,0,Qild Es Sabea,1,0,Baalbek-Hermel_Governorate,4-6
49.0,51.0,15.0,20.0,0,Qlaiaa,1,0,Marjeyoun_District,4-6
60.0,40.0,30.0,30.0,0,Qlaileh Sour,1,0,Tyre_District,4-6
60.0,40.0,20.0,30.0,0,Qleiaat Kesrouane,1,0,Keserwan_District,4-6
40.0,60.0,80.0,30.0,0,Qloud El-Baqieh,1,0,Akkar_Governorate,4-6
40.0,60.0,40.0,60.0,0,Qmatiyeh,1,0,Aley_District,4-6
55.0,45.0,30.0,10.0,1,Qnat,0,0,Bsharri_District,1-3
52.3,47.7,30.0,30.0,0,Qobbayaa,1,0,Baabda_District,4-6
50.0,50.0,15.0,8.0,0,Qornayel,1,0,Baabda_District,4-6
62.0,38.0,15.0,40.0,0,Qornet Aakkar,0,1,Akkar_Governorate,7+
51.0,49.0,35.0,45.0,0,Qornet El-Hamra,1,0,Matn_District,4-6
60.0,40.0,20.0,30.0,1,Qortada,0,0,Baabda_District,1-3
60.0,40.0,5.0,10.0,0,Qoubber Chamra,0,1,Akkar_Governorate,7+
40.0,60.0,15.0,70.0,0,Qounaitra,1,0,Sidon_District,4-6
60.0,40.0,30.0,40.0,0,Qoussaya,1,0,Zahle_District,4-6
35.0,38.0,13.0,10.0,0,Qraine,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,10.0,30.0,0,Qraiyat,1,0,Akkar_Governorate,4-6
52.0,48.0,10.0,40.0,0,Qraiyeh,1,0,Baabda_District,4-6
55.0,45.0,10.0,15.0,0,Qraiyet Jlayse,1,0,Byblos_District,4-6
74.0,26.0,0.0,0.0,0,Qraiyet Saida,1,0,Sidon_District,4-6
65.0,35.0,20.0,0.0,1,Qsaibet En-Nabatiyeh,0,0,Nabatieh_Governorate,1-3
55.0,45.0,5.0,30.0,0,Qsarnaba,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,20.0,30.0,0,Raachine,1,0,Keserwan_District,4-6
50.0,50.0,25.0,50.0,0,Raait,1,0,Zahle_District,4-6
55.0,45.0,30.0,50.0,0,Rabb Et-Tlatine,1,0,Marjeyoun_District,4-6
35.0,40.0,15.0,20.0,0,Rabieh,1,0,Matn_District,4-6
40.0,60.0,30.0,40.0,0,Rachaaine,1,0,Zgharta_District,4-6
55.0,45.0,10.0,50.0,0,Rachaf,1,0,Bint_Jbeil_District,4-6
51.0,49.0,30.0,35.0,0,Rachaiya El-Foukhar,1,0,Hasbaya_District,4-6
40.0,60.0,25.0,35.0,0,Rachaya El Wadi,1,0,Beqaa_Governorate,4-6
70.0,35.0,40.0,25.0,0,Rafid Rachaya,1,0,Beqaa_Governorate,4-6
60.0,40.0,12.0,20.0,1,Rahbeh,0,0,Akkar_Governorate,1-3
50.0,50.0,10.0,30.0,0,Ram,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,15.0,50.0,0,Ramyet Bent Jbeil,1,0,Bint_Jbeil_District,4-6
50.0,50.0,18.0,30.0,0,Ras Baalbek Ech-Charqi,1,0,Baalbek-Hermel_Governorate,4-6
40.0,60.0,5.0,10.0,0,Ras El Matn,1,0,Baabda_District,4-6
49.0,51.0,20.0,15.0,0,Ras El-Href,1,0,Baabda_District,4-6
50.0,50.0,40.0,18.0,0,Ras Kifa,1,0,Zgharta_District,4-6
60.0,40.0,15.0,15.0,0,Ras Masqa,1,0,North_Governorate,4-6
50.0,50.0,8.0,3.0,0,Rasha,1,0,Batroun_District,4-6
52.0,48.0,50.0,50.0,1,Rashana,0,0,Batroun_District,1-3
60.0,40.0,20.0,50.0,0,Rawda Bekaa,1,0,Western_Beqaa_District,4-6
60.0,40.0,10.0,15.0,0,Rawda Village,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,35.0,35.0,0,Rayfoun,1,0,Keserwan_District,4-6
50.0,45.0,25.0,40.0,0,Rechdibbine,1,0,North_Governorate,4-6
40.0,60.0,70.0,3.0,0,Richmaiya,1,0,Aley_District,4-6
40.0,60.0,10.0,50.0,0,Rihan Jezzine,1,0,South_Governorate,4-6
55.0,45.0,7.0,5.0,0,Rihana,1,0,Byblos_District,4-6
40.0,60.0,5.0,35.0,0,Rihaniyet Aakkar,0,1,Akkar_Governorate,7+
50.0,50.0,8.0,10.0,0,Rihaniyet Minie,1,0,Miniyeha-Danniyeh_District,4-6
60.0,40.0,60.0,40.0,0,Rijmeh,1,0,Aley_District,4-6
60.0,40.0,70.0,40.0,0,Rimat,1,0,South_Governorate,4-6
60.0,40.0,40.0,30.0,0,Rimhala,1,0,Aley_District,4-6
49.0,51.0,19.0,10.0,0,Rmadiyeh,1,0,Tyre_District,4-6
50.0,50.0,15.0,15.0,0,Rmeilet Ech-Chouf,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,8.0,25.0,0,Rouayssrt El-Ballout,1,0,Baabda_District,4-6
55.0,45.0,25.0,25.0,0,Roum,1,0,South_Governorate,4-6
55.0,45.0,15.0,20.0,0,Roumieh,1,0,Matn_District,4-6
60.0,40.0,10.0,50.0,0,Roumine,1,0,Nabatieh_Governorate,4-6
60.0,40.0,10.0,30.0,0,Saadine,1,0,Akkar_Governorate,4-6
50.0,50.0,40.0,40.0,0,Saadnayel,1,0,Zahle_District,4-6
50.0,50.0,7.0,16.0,0,Sabbah,1,0,South_Governorate,4-6
50.0,50.0,10.0,23.0,0,Safra Kesrouane,1,0,Keserwan_District,4-6
40.0,60.0,20.0,20.0,0,Saghbine,1,0,Western_Beqaa_District,4-6
51.0,49.0,15.0,40.0,0,Saida,1,0,Sidon_District,4-6
45.0,55.0,10.0,50.0,0,Saksakiyeh,1,0,Sidon_District,4-6
60.0,40.0,50.0,15.0,0,Salhiyet Saida,1,0,Sidon_District,4-6
50.0,50.0,20.0,45.0,0,Salima Baabda,1,0,Baabda_District,4-6
55.0,45.0,10.0,35.0,0,Sammaqiyeh,1,0,Akkar_Governorate,4-6
50.0,50.0,15.0,40.0,0,Saouanet Marjayoun,1,0,Marjeyoun_District,4-6
50.0,50.0,18.0,20.0,0,Sarba En-Nabatieh,1,0,Nabatieh_Governorate,4-6
50.0,50.0,15.0,20.0,0,Sariita,1,0,Byblos_District,4-6
60.0,40.0,15.0,35.0,0,Sarin Fawqa,1,0,Baalbek-Hermel_Governorate,4-6
40.0,60.0,5.0,20.0,0,Sayssouq,1,0,Akkar_Governorate,4-6
50.0,50.0,20.0,30.0,1,Sebaal Zgharta,0,0,Zgharta_District,1-3
52.0,48.0,18.0,25.0,0,Sehjoud,1,0,Hermel_District,4-6
50.0,50.0,20.0,30.0,0,Selaa,1,0,Tyre_District,4-6
52.0,48.0,17.0,20.0,0,Selaata,1,0,Batroun_District,4-6
55.0,45.0,10.0,40.0,0,Selfaya,1,0,Aley_District,4-6
60.0,40.0,40.0,30.0,0,Seraal,1,0,Zgharta_District,4-6
40.0,60.0,30.0,70.0,0,Serraaine Et-Tahta,1,0,Baalbek-Hermel_Governorate,4-6
52.0,48.0,20.0,25.0,0,Sfaray,1,0,South_Governorate,4-6
50.0,50.0,20.0,25.0,0,Sfaynet El-Qaitaa,1,0,Akkar_Governorate,4-6
45.0,55.0,30.0,40.0,0,Sfinet Ed-Draib,0,1,Akkar_Governorate,7+
50.0,50.0,5.0,40.0,0,Sfireh,1,0,Miniyeha-Danniyeh_District,4-6
43.0,45.0,35.0,30.0,0,Shawagheer El-Faouqa,1,0,Hermel_District,4-6
40.0,60.0,30.0,40.0,0,Shayleh Kesrouane,1,0,Keserwan_District,4-6
60.0,40.0,30.0,40.0,0,Sibline,1,0,Mount_Lebanon_Governorate,4-6
0.0,0.0,20.0,30.0,0,Sindianet Zeidane,0,1,Akkar_Governorate,7+
49.0,51.0,1.0,17.0,0,Sinn El-Fil,1,0,Matn_District,4-6
55.0,45.0,10.0,30.0,0,Sir El-Gharbiyeh,1,0,Nabatieh_Governorate,4-6
50.0,50.0,15.0,15.0,0,Sirhmoul,1,0,Aley_District,4-6
55.0,45.0,0.0,0.0,0,Sirjbal,1,0,Mount_Lebanon_Governorate,4-6
52.0,48.0,5.0,10.0,0,Sohmor,1,0,Western_Beqaa_District,4-6
55.0,45.0,15.0,10.0,0,Soltan Yacoub el Aradi,1,0,Western_Beqaa_District,4-6
50.0,50.0,30.0,10.0,0,Souairi,1,0,Western_Beqaa_District,4-6
60.0,40.0,20.0,25.0,0,Souaisset Aakkar,1,0,Akkar_Governorate,4-6
55.0,45.0,10.0,30.0,1,Soultaniyet Bent Jbeil,0,0,Bint_Jbeil_District,1-3
60.0,40.0,10.0,30.0,0,Srar,0,1,Akkar_Governorate,7+
35.0,65.0,30.0,15.0,1,Srayri,0,0,South_Governorate,1-3
50.0,50.0,20.0,30.0,0,Srifa,1,0,Tyre_District,4-6
50.0,50.0,40.0,60.0,0,Taaid,1,0,South_Governorate,4-6
50.0,50.0,30.0,20.0,0,Taalbaya,1,0,Zahle_District,4-6
40.0,60.0,20.0,20.0,0,Taazaniyeh,1,0,Aley_District,4-6
50.0,50.0,65.0,55.0,0,Taibet Baalbek,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,5.0,10.0,0,Tal Aabbas,1,0,Akkar_Governorate,4-6
60.0,40.0,25.0,25.0,1,Talia,0,0,Baalbek-Hermel_Governorate,1-3
60.0,40.0,5.0,20.0,0,Tall Aabbas Ech-Charqi,1,0,Akkar_Governorate,4-6
55.0,45.0,20.0,30.0,0,Tall Bireh,0,1,Akkar_Governorate,7+
50.0,50.0,15.0,25.0,0,Tall Hmayra,1,0,Akkar_Governorate,4-6
60.0,40.0,25.0,30.0,0,Tall Meaayan Tall Kiri,1,0,Akkar_Governorate,4-6
60.0,40.0,4.0,23.0,0,Tall Znoub,1,0,Western_Beqaa_District,4-6
50.0,50.0,65.0,20.0,1,Tallet Chattaha,0,0,Akkar_Governorate,1-3
60.0,40.0,25.0,17.0,0,Tanbourit,1,0,Sidon_District,4-6
60.0,40.0,7.0,15.0,0,Tannoura,1,0,Beqaa_Governorate,4-6
52.0,48.0,10.0,35.0,0,Tannourine El-Faouqa,1,0,Batroun_District,4-6
52.0,48.0,10.0,15.0,0,Taraiya,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,10.0,35.0,0,Tarchich,1,0,Baabda_District,4-6
50.0,50.0,20.0,20.0,0,Tartij,1,0,Byblos_District,4-6
50.0,50.0,15.0,10.0,0,Tawfiqiya,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,20.0,15.0,0,Tayr Debbeh,1,0,Tyre_District,4-6
50.0,50.0,3.0,35.0,0,Teffahta,1,0,Sidon_District,4-6
55.0,45.0,15.0,15.0,0,Temnine El-Faouqa,1,0,Baalbek-Hermel_Governorate,4-6
65.0,35.0,25.0,30.0,0,Temnine Et-Tahta,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,20.0,18.0,0,Terbol Zahleh,1,0,Zahle_District,4-6
50.0,50.0,30.0,25.0,0,Thoum,1,0,Batroun_District,4-6
60.0,40.0,15.0,20.0,0,Tibnine,1,0,Bint_Jbeil_District,4-6
60.0,40.0,10.0,40.0,0,Tikrit,1,0,Akkar_Governorate,4-6
52.0,48.0,57.0,53.0,0,Tleil,1,0,Akkar_Governorate,4-6
40.0,60.0,5.0,50.0,0,Torbol Menie,1,0,Miniyeha-Danniyeh_District,4-6
55.0,45.0,25.0,35.0,0,Toula,1,0,Zgharta_District,4-6
55.0,45.0,30.0,25.0,1,Toula El-Batroun,0,0,Batroun_District,1-3
50.0,50.0,5.0,10.0,0,Touline,1,0,Marjeyoun_District,4-6
57.0,43.0,10.0,55.0,0,Toura,1,0,Tyre_District,4-6
70.0,30.0,2.0,35.0,0,Tshea,1,0,Akkar_Governorate,4-6
52.0,48.0,7.0,48.0,0,Vidar,1,0,Byblos_District,4-6
55.0,45.0,40.0,20.0,0,Wadi Jezzine,1,0,South_Governorate,4-6
40.0,60.0,5.0,5.0,0,Yammouneh,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,20.0,25.0,0,Yanouh Sour,1,0,Tyre_District,4-6
45.0,35.0,35.0,15.0,0,Yanta,1,0,Beqaa_Governorate,4-6
50.0,50.0,18.0,40.0,0,Yaroun,1,0,Bint_Jbeil_District,4-6
45.0,55.0,30.0,35.0,0,Yater,1,0,Bint_Jbeil_District,4-6
50.0,50.0,30.0,30.0,0,Yohmor En-Nabatiyeh,1,0,Nabatieh_Governorate,4-6
60.0,40.0,15.0,25.0,0,Yohmor West Bekaa,1,0,Western_Beqaa_District,4-6
55.0,45.0,25.0,30.0,0,Zaaitreh,1,0,Keserwan_District,4-6
51.37,48.63,12.0,20.0,0,Zaarouriyeh,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,15.0,60.0,0,Zabboud,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,10.0,30.0,0,Zabbougha,1,0,Matn_District,4-6
40.0,60.0,20.0,7.0,0,Zaghartaghrine,1,0,Miniyeha-Danniyeh_District,4-6
51.0,49.0,20.0,20.0,0,Zahleh El-Maallaqa,1,0,Zahle_District,4-6
60.0,40.0,20.0,50.0,1,Zaitoun,0,0,Keserwan_District,1-3
50.0,50.0,10.0,40.0,0,Zakrit,1,0,Matn_District,4-6
44.0,56.0,15.0,14.0,0,Zakroun,1,0,North_Governorate,4-6
45.0,55.0,35.0,40.0,0,Zalqa,1,0,Matn_District,4-6
53.0,47.0,20.0,32.0,0,Zandouqa,1,0,Baabda_District,4-6
60.0,40.0,30.0,20.0,0,Zaneh,1,0,Batroun_District,4-6
50.0,50.0,25.0,17.0,0,Zaoutar Ech-Charqiyeh,1,0,Nabatieh_Governorate,4-6
55.0,45.0,30.0,60.0,0,Zebdine,1,0,Byblos_District,4-6
55.0,45.0,5.0,10.0,0,Zefta,1,0,Nabatieh_Governorate,4-6
45.0,55.0,33.0,66.0,1,Zeita,0,0,Sidon_District,1-3
45.0,55.0,20.0,30.0,1,Zgharta-Ehden,0,0,Zgharta_District,1-3
55.0,45.0,10.0,30.0,0,Zhilta,1,0,South_Governorate,4-6
60.0,40.0,20.0,80.0,1,Zibdine En-Nabatiyeh,0,0,Nabatieh_Governorate,1-3
50.0,50.0,10.0,10.0,0,Zilaya,1,0,Western_Beqaa_District,4-6
50.0,50.0,40.0,30.0,1,Zouarib,0,0,Akkar_Governorate,1-3
50.0,50.0,15.0,20.0,0,Zouk El-Kharab,1,0,Matn_District,4-6
60.0,40.0,35.0,10.0,0,Zouk Mkayel,1,0,Keserwan_District,4-6
58.0,42.0,34.0,66.0,0,Zouk Mousbeh,1,0,Keserwan_District,4-6
60.0,40.0,20.0,35.0,0,Zouq El Hosniyeh,1,0,Akkar_Governorate,4-6
60.0,40.0,0.0,0.0,0,Zouq El-Hadara,1,0,Akkar_Governorate,4-6
50.0,50.0,30.0,10.0,0,Zouq El-Hbalsa,1,0,Akkar_Governorate,4-6
53.0,47.0,10.0,40.0,1,Zrariyeh,0,0,Sidon_District,1-3
52.0,49.0,4.0,60.0,0,Zrazeer,1,0,Baalbek-Hermel_Governorate,4-6
50.0,50.0,20.0,30.0,0,aain Aalaq,1,0,Matn_District,4-6
65.0,35.0,11.0,15.0,1,berqayel,0,0,Akkar_Governorate,1-3
50.0,50.0,30.0,45.0,0,ebra wChouane,1,0,Keserwan_District,4-6
45.0,55.0,15.0,20.0,0,hadtoun,1,0,Batroun_District,4-6
50.0,50.0,25.0,35.0,0,jouar Hasheesh,1,0,Hermel_District,4-6
52.0,48.0,15.0,25.0,0,mazboud,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,20.0,20.0,0,shebaneye,1,0,Baabda_District,4-6
40.0,60.0,20.0,20.0,0,tarane,1,0,Miniyeha-Danniyeh_District,4-6
